2026-07-08 16:50:19,716 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:19,720 | WARNING | aiogram.dispatcher | Sleep for 1.953877 seconds and try again... (tryings = 3, bot id = 8628151359)
2026-07-08 16:50:25,041 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:25,044 | WARNING | aiogram.dispatcher | Sleep for 2.288009 seconds and try again... (tryings = 3, bot id = 8628151359)
2026-07-08 16:50:27,576 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:27,577 | WARNING | aiogram.dispatcher | Sleep for 2.623145 seconds and try again... (tryings = 4, bot id = 8628151359)
2026-07-08 16:50:33,410 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:33,416 | WARNING | aiogram.dispatcher | Sleep for 2.895704 seconds and try again... (tryings = 4, bot id = 8628151359)
2026-07-08 16:50:36,617 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:36,620 | WARNING | aiogram.dispatcher | Sleep for 3.433369 seconds and try again... (tryings = 5, bot id = 8628151359)
2026-07-08 16:50:40,404 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:40,411 | WARNING | aiogram.dispatcher | Sleep for 3.738055 seconds and try again... (tryings = 5, bot id = 8628151359)
2026-07-08 16:50:44,410 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:44,417 | WARNING | aiogram.dispatcher | Sleep for 4.197519 seconds and try again... (tryings = 6, bot id = 8628151359)
2026-07-08 16:50:48,901 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:48,903 | WARNING | aiogram.dispatcher | Sleep for 4.848890 seconds and try again... (tryings = 6, bot id = 8628151359)
2026-07-08 16:50:53,774 | INFO | aiogram.dispatcher | Connection established (tryings = 7, bot id = 8628151359)
2026-07-08 16:50:54,023 | INFO | aiogram.dispatcher | Connection established (tryings = 7, bot id = 8628151359)
2026-07-08 16:50:54,027 | INFO | aiogram.event | Update id=272691266 is not handled. Duration 0 ms by bot id=8628151359
2026-07-08 16:50:54,253 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:54,255 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:50:54,258 | INFO | aiogram.event | Update id=272691266 is handled. Duration 482 ms by bot id=8628151359
2026-07-08 16:50:58,525 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:58,528 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:50:59,860 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:50:59,863 | WARNING | aiogram.dispatcher | Sleep for 1.171062 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:51:04,283 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:04,285 | WARNING | aiogram.dispatcher | Sleep for 1.239629 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:51:05,803 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:05,805 | WARNING | aiogram.dispatcher | Sleep for 1.555170 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:51:08,428 | INFO | aiogram.dispatcher | Connection established (tryings = 3, bot id = 8628151359)
2026-07-08 16:51:08,973 | INFO | aiogram.event | Update id=272691267 is handled. Duration 539 ms by bot id=8628151359
2026-07-08 16:51:10,611 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:10,613 | WARNING | aiogram.dispatcher | Sleep for 1.625507 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:51:12,561 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:12,563 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:51:16,828 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:16,829 | WARNING | aiogram.dispatcher | Sleep for 2.201777 seconds and try again... (tryings = 3, bot id = 8628151359)
2026-07-08 16:51:19,314 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:19,314 | WARNING | aiogram.dispatcher | Sleep for 1.271677 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:51:23,822 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:23,824 | WARNING | aiogram.dispatcher | Sleep for 2.716428 seconds and try again... (tryings = 4, bot id = 8628151359)
2026-07-08 16:51:26,807 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:26,808 | WARNING | aiogram.dispatcher | Sleep for 1.618593 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:51:27,965 | INFO | aiogram.dispatcher | Connection established (tryings = 5, bot id = 8628151359)
2026-07-08 16:51:27,972 | INFO | aiogram.event | Update id=272691268 is not handled. Duration 1 ms by bot id=8628151359
2026-07-08 16:51:31,704 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:31,706 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:51:33,036 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:33,038 | WARNING | aiogram.dispatcher | Sleep for 2.139352 seconds and try again... (tryings = 3, bot id = 8628151359)
2026-07-08 16:51:38,461 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:38,462 | WARNING | aiogram.dispatcher | Sleep for 1.220939 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:51:39,958 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:39,958 | WARNING | aiogram.dispatcher | Sleep for 3.071601 seconds and try again... (tryings = 4, bot id = 8628151359)
2026-07-08 16:51:43,274 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:43,275 | WARNING | aiogram.dispatcher | Sleep for 1.709966 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:51:48,397 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:48,399 | WARNING | aiogram.dispatcher | Sleep for 3.971351 seconds and try again... (tryings = 5, bot id = 8628151359)
2026-07-08 16:51:49,116 | INFO | aiogram.dispatcher | Connection established (tryings = 3, bot id = 8628151359)
2026-07-08 16:51:49,120 | INFO | aiogram.event | Update id=272691269 is not handled. Duration 0 ms by bot id=8628151359
2026-07-08 16:51:52,697 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:52,699 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:51:56,970 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:51:56,970 | WARNING | aiogram.dispatcher | Sleep for 4.977922 seconds and try again... (tryings = 6, bot id = 8628151359)
2026-07-08 16:52:02,219 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:02,221 | WARNING | aiogram.dispatcher | Sleep for 1.085321 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:52:06,625 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:06,629 | WARNING | aiogram.dispatcher | Sleep for 4.880150 seconds and try again... (tryings = 7, bot id = 8628151359)
2026-07-08 16:52:11,745 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:11,747 | WARNING | aiogram.dispatcher | Sleep for 1.450557 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:52:13,228 | INFO | aiogram.dispatcher | Connection established (tryings = 8, bot id = 8628151359)
2026-07-08 16:52:13,484 | INFO | aiogram.dispatcher | Connection established (tryings = 3, bot id = 8628151359)
2026-07-08 16:52:13,491 | INFO | aiogram.event | Update id=272691270 is not handled. Duration 1 ms by bot id=8628151359
2026-07-08 16:52:13,795 | INFO | aiogram.event | Update id=272691270 is handled. Duration 560 ms by bot id=8628151359
2026-07-08 16:52:16,737 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:16,739 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:52:17,996 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:17,997 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8628151359)
2026-07-08 16:52:22,262 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:22,264 | WARNING | aiogram.dispatcher | Sleep for 1.281305 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:52:23,927 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:23,928 | WARNING | aiogram.dispatcher | Sleep for 1.284844 seconds and try again... (tryings = 1, bot id = 8628151359)
2026-07-08 16:52:28,450 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:28,453 | WARNING | aiogram.dispatcher | Sleep for 1.686393 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:52:30,485 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:30,488 | WARNING | aiogram.dispatcher | Sleep for 1.696059 seconds and try again... (tryings = 2, bot id = 8628151359)
2026-07-08 16:52:35,459 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:35,460 | WARNING | aiogram.dispatcher | Sleep for 2.122602 seconds and try again... (tryings = 3, bot id = 8628151359)
2026-07-08 16:52:37,857 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:37,858 | WARNING | aiogram.dispatcher | Sleep for 2.114101 seconds and try again... (tryings = 3, bot id = 8628151359)
2026-07-08 16:52:43,283 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:43,285 | WARNING | aiogram.dispatcher | Sleep for 2.628012 seconds and try again... (tryings = 4, bot id = 8628151359)
2026-07-08 16:52:46,149 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:46,150 | WARNING | aiogram.dispatcher | Sleep for 2.853920 seconds and try again... (tryings = 4, bot id = 8628151359)
2026-07-08 16:52:49,425 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:49,425 | WARNING | aiogram.dispatcher | Sleep for 3.372780 seconds and try again... (tryings = 5, bot id = 8628151359)
2026-07-08 16:52:53,112 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:53,119 | WARNING | aiogram.dispatcher | Sleep for 3.521959 seconds and try again... (tryings = 5, bot id = 8628151359)
2026-07-08 16:52:56,931 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:52:56,932 | WARNING | aiogram.dispatcher | Sleep for 4.315887 seconds and try again... (tryings = 6, bot id = 8628151359)
2026-07-08 16:53:01,450 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:53:01,453 | WARNING | aiogram.dispatcher | Sleep for 4.811052 seconds and try again... (tryings = 6, bot id = 8628151359)
2026-07-08 16:53:06,541 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:53:06,541 | WARNING | aiogram.dispatcher | Sleep for 4.986314 seconds and try again... (tryings = 7, bot id = 8628151359)
2026-07-08 16:53:11,851 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:53:11,852 | WARNING | aiogram.dispatcher | Sleep for 4.965631 seconds and try again... (tryings = 7, bot id = 8628151359)
2026-07-08 16:53:17,079 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:53:17,083 | WARNING | aiogram.dispatcher | Sleep for 4.881583 seconds and try again... (tryings = 8, bot id = 8628151359)
2026-07-08 16:53:22,299 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:53:22,302 | WARNING | aiogram.dispatcher | Sleep for 5.182771 seconds and try again... (tryings = 8, bot id = 8628151359)
2026-07-08 16:53:27,828 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:53:27,830 | WARNING | aiogram.dispatcher | Sleep for 5.077024 seconds and try again... (tryings = 9, bot id = 8628151359)
2026-07-08 16:53:33,163 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-07-08 16:53:33,164 | WARNING | aiogram.dispatcher | Sleep for 4.946568 seconds and try again... (tryings = 9, bot id = 8628151359)
